IC05	IC08	IC09	IC15	IC16	IC17	IC18	IC19	IC20	IC23	IC24	IC26	IC27	IC29	IC31	IC33	IC36	IC37	IC38	IC41	IC42	IC43	IC44	IC45	IC46	IC47	IC48	IC49	IC50	IC51	IC54	IC56	IC58	IC60	IC62	IC63	IC64	IC65	IC66	IC67	IC68	IC69	IC71	IC72	IC73	IC74	IC75	IC76	IC77
0.5451	1.1713	0.6868	-0.3026	-1.1293	0.6242	2.4404	0.0714	-0.9152	1.9655	-0.9259	-0.1449	0.6675	0.2624	0.2274	0.6207	-0.5077	1.0506	-1.2690	-0.0616	-0.3459	0.6511	0.7971	1.3228	-0.0487	-1.0257	0.8372	0.4047	-0.8874	1.4005	-1.5687	-0.3391	0.2232	0.3338	-0.2889	0.5395	1.2065	1.2958	1.3427	0.1250	0.5021	-0.6977	1.2172	-1.0012	0.2374	0.8618	0.9726	1.1549	1.8388
-0.9549	0.8803	1.3562	-0.4627	-0.3288	0.2222	-1.0296	1.3154	-0.7018	-0.1268	-0.2478	-0.9260	-0.0351	-0.4819	0.2131	0.4328	-0.2514	1.1384	-1.0411	-0.3419	-0.9641	0.0608	0.9967	1.2548	0.0546	-1.4231	0.9159	-0.0108	-1.3961	0.9827	-2.3054	0.2913	-0.0049	-0.8654	-0.4988	0.1816	-0.1845	-0.6758	0.5911	-0.9614	-0.0580	-0.2959	0.0957	-1.1113	0.3496	1.2160	1.8188	1.9111	2.0657
-1.1715	0.8911	1.4117	-0.0671	-1.3251	0.3659	-1.9881	1.4689	-1.5092	0.0167	0.4946	-1.6429	0.0765	-0.0606	-0.4831	0.9219	0.5046	0.9191	-0.2110	-0.5378	-0.7118	0.4056	0.1663	0.9678	-0.2765	-1.0756	1.6054	-0.4980	-1.2216	0.3787	-1.3147	-0.5011	-0.1402	-1.5981	-0.3660	-0.0621	0.7950	-1.1778	-0.3666	-1.1245	1.0801	0.7898	0.0984	-1.2291	1.9013	-0.7076	2.1773	1.5683	0.8411
-0.6854	0.6120	0.5187	-0.8534	-1.3981	-0.3816	-1.4411	0.2966	-2.0199	1.6087	0.5897	-1.4814	-0.4287	0.0858	-1.3171	-0.2315	-0.2180	-0.0856	-0.8561	-0.6575	-0.8251	0.1348	-0.2238	0.5418	-1.9892	-0.2256	1.1906	-1.9466	-1.7258	-0.4357	-1.8408	-1.0598	-1.1570	-0.5825	-0.3379	-1.2184	1.5968	-0.5479	-1.3043	-2.1970	1.6466	-0.3411	0.4811	-1.4592	1.0667	0.0570	0.6878	0.5638	1.3802
-0.7768	-0.9506	-0.2506	-0.9405	-0.8737	-0.2101	-1.2723	1.3488	-0.4930	0.0633	-0.6553	-1.3642	-0.1020	-0.0693	-0.9864	-0.2377	0.3913	-0.7400	-1.0636	-0.6405	-0.6514	-0.6668	-1.0393	-0.6527	-1.4417	-1.0364	-0.5849	-1.8276	-1.1817	0.0861	-0.7130	-1.0656	-1.3720	-1.4810	-0.0924	-1.5947	0.6191	-1.0395	-1.4562	-2.0082	-1.2607	-0.4164	-0.1498	-1.9801	-1.1344	-1.1908	-0.2562	0.1096	1.3156
-0.4357	-1.3267	-1.3576	-0.9107	-1.1461	-0.6582	-1.0457	0.3092	-0.8734	-0.5763	-0.0558	-1.3682	-1.0120	-0.1157	-0.8526	-0.2224	0.1606	-0.6644	-1.1479	-0.3261	-0.2768	0.2561	-2.1817	-0.8882	-0.8499	-1.1371	-0.6555	-2.2450	-1.4191	-1.3311	-1.3049	-1.3059	-1.5329	-1.4333	0.6725	-0.7119	0.3266	-1.7629	-1.7259	-2.4888	-0.3529	-0.0168	-0.0848	-2.2243	-0.6869	-0.6838	-0.8979	-1.5222	-0.1023
-1.0281	-1.5957	-1.2826	-1.2947	-0.2624	-1.7468	-0.5877	0.9586	1.4627	-0.3124	-1.1691	-0.6965	-1.6971	-0.1860	-0.7252	-0.5189	0.1188	-0.5904	-0.5478	-0.3098	-1.2422	-1.4236	-1.6583	-1.5622	-0.5487	-0.4233	-1.5225	-1.9196	-0.8877	-2.1122	-0.1741	-0.3334	-0.8789	-0.8368	0.7749	-1.8304	-0.7170	-1.4145	-2.2226	-1.4532	-1.2094	-1.0882	-0.8129	-1.2528	-2.1149	-0.9489	-0.0640	-0.7207	0.0847
-1.1592	-1.7319	-1.4539	-1.2911	-0.8667	-0.5259	-0.0647	1.4730	1.0949	-1.5054	-0.1974	-0.5706	-0.7214	-0.0003	-0.5523	0.0733	0.3691	-0.8042	0.7144	-0.8689	-1.1835	-0.7734	-1.2585	-2.3267	-0.7976	-0.4366	-1.1899	-1.5444	0.1201	-1.7908	0.4457	-1.0211	-0.7409	-0.6409	0.8346	-1.3160	-0.8659	-0.8482	-1.8212	-0.9573	-0.0080	-0.1552	-0.0681	-0.6726	-1.7133	-2.1983	-0.1111	-0.2332	-0.6896
-1.0493	-1.1993	-1.4849	-1.1124	-0.8980	-0.3637	-0.1028	1.6874	1.7484	-1.6026	-0.2437	-0.3465	-0.0545	-0.2285	-0.5014	-0.9004	0.4348	-0.2555	0.8701	-0.7542	-1.0760	-1.1615	-1.2756	-1.6572	-0.2084	-0.8892	-0.3179	-0.8087	0.1647	-0.8008	0.9215	-0.6275	-0.9907	-0.4424	0.7828	-0.7591	-0.9759	-0.3940	-1.0771	0.1515	-1.2638	0.0689	-0.2694	0.4141	-1.4782	-0.6760	-0.5503	0.6504	-0.2887
-0.7941	-1.2115	-1.7963	-0.6881	-0.8933	-0.2031	0.8912	1.0991	0.3794	-1.4041	-0.2957	-0.5647	-0.8184	-1.2891	-1.2593	-1.1417	0.0217	-0.3062	0.3673	-0.9815	-1.0413	-0.0788	-1.5081	-1.3052	-0.1191	0.2859	-0.7684	-1.1126	-0.3214	-1.6356	0.5538	-1.5193	-1.3279	-0.2976	0.3448	0.0044	0.0380	-0.6927	-0.3115	0.1029	-0.8065	0.1495	-0.0187	-0.1211	-1.3951	-0.6808	-1.5510	0.0730	0.3074
