IC05	IC08	IC09	IC15	IC16	IC17	IC18	IC19	IC20	IC23	IC24	IC26	IC27	IC29	IC31	IC33	IC36	IC37	IC38	IC41	IC42	IC43	IC44	IC45	IC46	IC47	IC48	IC49	IC50	IC51	IC54	IC56	IC58	IC60	IC62	IC63	IC64	IC65	IC66	IC67	IC68	IC69	IC71	IC72	IC73	IC74	IC75	IC76	IC77
0.2075	-0.3722	0.1188	-0.4397	0.1943	0.0715	-0.2061	0.1591	-0.2907	-1.7137	0.5643	-0.4479	1.6329	0.2786	-0.7161	-1.6641	0.0925	-0.0038	-0.6985	-0.6226	0.4917	-0.4392	0.3269	-1.8246	1.3906	-0.3714	-0.5595	-0.6237	0.0629	-0.5824	0.3637	-0.3818	-0.6074	-1.2824	1.5396	1.2797	0.1700	0.1642	0.8971	0.3162	-0.9030	-0.0888	-2.0343	1.2552	-0.1439	-1.2598	0.1135	0.4108	0.3788
-0.3266	-1.0062	-0.5577	1.7652	1.0361	1.4648	0.0493	0.0121	-0.4833	-0.2864	-1.3554	-1.1828	1.9638	-0.1588	0.3338	-0.3339	0.2106	-0.2442	-0.2257	-0.8044	0.1743	-0.6319	0.6632	-1.6328	0.5672	0.1735	-0.2443	-0.3510	0.6036	0.6098	-0.1531	0.0865	-0.7877	-1.3471	1.3432	1.6546	-0.5734	-0.7295	-0.0671	0.8020	-0.6777	-0.6863	-1.8848	0.4504	0.1333	-1.0392	-0.0510	0.0440	-0.0504
0.8296	-0.7099	-0.4930	0.2974	0.5474	0.6534	0.0939	0.0074	0.3376	0.0833	-0.2995	-0.0583	1.1556	0.2677	-0.0314	0.2946	-0.7127	-0.5388	-0.4784	1.0684	-1.1323	-0.5049	-0.6873	0.2879	0.1172	1.1246	-1.6938	0.1551	0.4602	0.6523	0.6851	-0.6067	0.7492	-0.6989	0.4675	0.4827	-0.3319	0.3392	-0.3092	-0.0911	-0.0683	-1.1085	-0.1988	0.2923	-0.3502	-0.9150	-1.5303	-0.5054	-0.3169
-0.3833	0.1316	0.6303	-1.1060	1.2069	-0.8224	1.0389	-0.3360	0.4119	0.0295	0.5268	0.6800	0.7088	0.7565	0.3411	-1.9648	0.6388	1.1861	1.0504	0.1664	0.5765	1.3947	0.8417	-1.0181	1.5131	1.7696	-0.9696	-0.6148	1.3962	-1.6223	0.4117	0.1984	1.2126	-0.1682	1.2113	1.1101	-0.2982	0.0901	0.8101	-0.8375	-0.2075	-0.4040	-0.9789	1.5684	-1.0182	0.0142	0.9955	0.5391	1.2352
-0.2725	-0.3975	0.3406	1.4369	1.1352	0.5413	-0.0116	-0.4753	0.1516	0.0706	-1.5843	-0.2918	1.7387	0.9419	0.1397	-0.8662	0.6995	0.6883	0.4168	-0.7787	1.5829	1.4103	0.1266	0.4301	0.3340	0.8997	0.7011	-0.9476	0.9806	-0.2661	-0.3180	-0.0332	0.9156	-0.3540	2.4916	0.6034	-0.0242	-1.1597	0.3348	-0.9812	0.0451	0.1133	-1.4868	0.9375	0.3249	-0.7274	0.6185	-0.1694	1.0981
1.2106	-0.6795	-0.4346	2.4743	0.5222	1.3218	-1.0219	0.9481	0.6735	-0.7096	-0.0579	-0.4175	1.4601	1.3138	0.2769	0.9825	-0.1152	-0.3451	-0.6770	0.7593	0.1601	-0.4127	-0.8283	0.7824	-0.6195	0.7102	0.1882	0.2172	-0.0484	0.4762	0.9883	-0.5966	2.3777	-0.2108	1.3883	-0.5570	0.7639	-0.2646	-1.1783	-0.5289	-0.1132	-1.2337	-0.1279	0.9044	0.4862	-1.2542	-1.4973	-0.1083	0.4707
0.2292	-0.5814	-0.0041	0.4740	-0.0315	-0.1314	0.4898	0.5609	0.7000	-0.2336	1.5690	-0.2274	-0.4635	1.4122	1.1519	0.8090	1.4029	0.2552	1.0077	0.6397	0.3312	0.1925	-0.7404	0.1391	0.3007	-0.1708	-0.4818	-0.2368	0.7187	-1.3550	0.8002	-1.0624	1.4874	-0.2678	1.2758	-1.0201	-0.1518	0.8815	-0.5341	-0.5425	-0.5564	-1.2242	0.6727	0.7275	-0.8873	-1.2820	0.0775	1.0278	1.0166
-0.5119	0.0072	0.5975	-0.0669	-0.0144	0.7418	1.0270	-0.0573	-0.3692	0.7260	0.9883	0.5260	-0.2163	1.8563	0.2542	1.1731	1.2750	1.2486	0.8650	1.1672	2.3425	1.5001	-0.9874	-0.5848	0.9091	0.9628	-0.7078	-0.0364	1.1014	-1.2635	1.1192	-1.2544	-0.1158	-0.4621	0.8680	-0.0760	1.1291	-0.0479	0.8914	-1.0186	0.7423	-0.1512	0.7548	0.0890	-1.3995	-1.6830	-0.1025	0.1704	1.6373
1.0755	0.3174	0.2955	-0.1421	-0.5959	0.6637	-0.5891	0.2967	-0.4120	-0.1414	0.0651	0.2240	0.6845	2.3413	-0.4484	0.8892	0.7580	0.9429	-0.7856	1.0171	1.6079	0.2414	-0.9433	-0.0669	-0.0110	0.9822	-0.8556	-0.5563	0.5465	-1.1780	0.8717	-0.5858	0.6816	0.3886	0.6354	-0.6896	1.1644	-0.3354	1.3262	-0.3448	1.3171	-0.1565	0.9613	0.6625	0.7388	-1.0200	-0.7108	-0.5688	0.6881
0.7410	0.3390	-1.2043	-0.3667	-0.2694	-0.9234	-0.5125	0.2362	0.2196	0.0863	0.9243	-0.1881	-1.2396	0.3781	0.0805	-0.2688	0.5115	0.6684	-0.3901	0.1498	0.4334	0.1766	0.2809	-1.1598	0.6755	1.1661	-1.2921	-0.8274	0.5195	0.0309	0.2665	0.1648	-0.3077	0.3332	-0.4970	-1.1873	-0.1030	1.1252	0.2792	0.7593	0.4698	-1.3405	0.9277	1.3928	0.1460	0.4943	1.5923	0.0183	0.5155
